_id,created_at,ward_id,title,description,sub_category_id,civic_agency_id,location,address,latitude,longitude,ward_title,category_id,category_title,sub_category_title,civic_agency_title,complaint_status_title,comment_count
409,2019-01-28T20:26:00,149,"BWSSB has digged the road for Kaveri water pipeline work, but the...","BWSSB has digged the road for Kaveri water pipeline work, but the work is completed year back, but still the road is not been restored, when we asked for BWSSB they said the amount is already released to BBMP but the roads are in bad state...can someone look into this road... Kadubeesanahalli-Panathur rd",67,10,"Kadubeesanahalli,kaverappa Layout, 3Rd Cross Road, Kaverappa Layout, Kadubeesanahalli, Bengaluru, Karnataka, India",NULL,12.9394543,77.7028777,Varthur,15,"Mobility - Roads, Footpaths and Infrastructure",Tarring Or Asphalting Of Existing Road,BBMP,Resolved,3
410,2019-01-28T20:51:00,199,Road is full of potholes. No maintenance for the past 7 years,"The road has been destroyed beyond recognizance. The situation compounded as the road has not been maintained for the past 7 years. You cannot identify where the potholes begin and where the starts. This require urgent attention as accidents are happening on a daily basis with motorist trying to avoid potholes. During the rainy season, the road become inaccessible virtually cutting the complete area from the rest of Bangalore as there is no alternative route",66,10,"Doddakannelli-Chikkanayakana Halli Rd, Chikkanayakanahalli, Chikkakannalli, Bengaluru, Karnataka 560035, India",Near Vaswani Walnut Creek Villas,12.89401679,77.69408218,Other,15,"Mobility - Roads, Footpaths and Infrastructure",Fixing/Reparing Potholes,BBMP,Resolved,1
411,2019-01-28T21:06:00,80,10 or more dogs in 1st Cross road . Indiranagar stage 1,10 or more agressive street dogs have made it very difficult to use streets or roads or house. All garbage is torn up. They are attacking people in evening or night time. And full night.of noise . These dogs need to be removed .,77,10,"768, 1St Cross Rd, Kalyan Nagar, Indira Nagar 1St Stage, H Colony, Indiranagar, Bengaluru, Karnataka 560038, India",1st Cross road Indiranagar stage 1,12.9807334,77.6443241,Hoysala Nagar,19,Animal Husbandry,Stray Dog Sterilisation/Animal Birth Control (ABC),BBMP,Resolved,8
412,2019-01-28T22:28:00,18,Garbage is not cleared,"Garbage has been rotting away and area residents, scho children are suffering rat infestation. Please attend urgently and ban dumping garbage in this location. It is causing diceases and mosquitoes to spread. Kindly look into this at the earliest.",155,10,"57, 6Th A Cross Rd, Rmv 2Nd Stage, Aecs Layout, Raj Mahal Vilas 2Nd Stage, Sanjaynagar, Bengaluru, Karnataka 560094, India",Opposite oi playschool,13.03073744,77.57349993,Radhakrishna Temple,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP,Resolved,2
413,2019-01-29T02:29:00,150,No water supply,"No bbmp water supply, private rangers demand extra money and sometimes there is no supply from then as well.",182,2,"Kasavanahalli, Bengaluru, Karnataka 560035, India",Adjacent to Raksha multispeciality clinic,12.9066841,77.6757011,Bellanduru,23,Water Supply and Services,Regular Water Supply,BWSSB,Open,0
414,2019-01-29T10:02:00,195,Garbage is dumped in this empty plot.,"Hello,
I am referring to the plot #50, 9th cross, 3rd main, Shreyas colony, J P nagar 7th phase, Bangalore-78. This plot is opposite to my house and people dump their garbage in this plot. We have been cleaning this and within a week after cleaning, it is full of garbage. I do not have this plot owner's number. Even if I get that, I can follow up with them and get this maintained. Else, please get this maintained.

Thanks,
Surekha.",155,10,"50, 9Th Cross Rd, Chandra Nagara, 8Th Phase, Jp Nagar, Bengaluru, Karnataka 560078, India","9th cross, 3rd main, shreyas colony",12.8825133,77.57932728,Konankunte,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP,Resolved,6
415,2019-01-29T17:05:00,148,"Due to this speed breaker on 4th main s.t.bed layout , there were...","Due to this speed breaker on 4th main s.t.bed layout , there were number of accidents and hence please remove it. 
I can share a number of accident videos captured in the cctv.",67,10,"192, 1St Cross Rd, New Friends Colony, S T Bed Layout, Koramangala, Bengaluru, Karnataka 560095, India",NULL,12.9345564,77.6323136,Ejipura,15,"Mobility - Roads, Footpaths and Infrastructure",Tarring Or Asphalting Of Existing Road,BBMP,On-the-Job,1
416,2019-01-29T18:04:00,199,Request you to arrange Streetlight,"I would request you to arrange streetlight near that area as well as fix the path holes. roads are worst , please take it as on priority",62,10,"Unnamed Road, Choodasandra, Bengaluru, Karnataka 560099, India",Madduramma temple,12.87694103,77.67895071,Other,470,Streetlights,Maintenance/Repair Of Streetlights,BBMP,Resolved,1
417,2019-01-29T20:54:00,7,Garbage dumb &amp; burning,Garbage is being dumped and burnt in the location on a regular basis. The garbage is set on fire in the evenings and it continues to burn throughout the night making it difficult to breathe.,155,10,"2Nd Cross Rd, Sanjeevini Nagar, Bengaluru, Karnataka 560092, India",Near holy trinity church,13.05599434,77.58830709,Byatarayanapura,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP,Resolved,3
418,2019-01-29T21:26:00,79,Bus route / metro feeder to Marathahalli via old airport road,"Hello, kindly start metro feeder from swami Vivekananda metro station till Marathahalli via old airport road. KR Puram being heavy in traffic this will make it very easy for daily commuters.",169,8,"Swami Vivekananda Marg, Metro Vihar, New Baiyyappanahalli Extension, Maruthi Sevanagar, Bengaluru, Karnataka 560038, India",Swami Vivekananda metro station till marathahalli,12.9856284,77.6444642,Sarvagna Nagar,168,Public Transport - BMTC,Provide New Bus Routes,BMTC,Open,0
419,2019-01-29T21:59:00,56,Private Buses,"Is there a regulation on the private buses that do trips within the city, I understand that it has it's benefits and it is relief for the public. But these buses are a menace, they don't follow any rules and also extremely rude when you point their mistake. They park the buses anywhere they like, they stop anywhere they please. There should be some regulation to these things in place.",84,5,"Srinagar - Kanyakumari Hwy, Pai Layout, Mahadevapura, Bengaluru, Karnataka 560016, India",Bus stop,12.996522,77.6690815,A Narayanapura,21,Traffic and Road Safety,Traffic Jams/Congestion Or Bottlenecks,BTP,Closed,1
420,2019-01-30T05:47:00,28,It's been more than 18 days and no one is bothered to close this,It's been more than 18 days and no one is bothered to close this,66,10,"5, Muddappa Rd, Vivekananda Nagar, Maruthi Sevanagar, Bengaluru, Karnataka 560033, India",NULL,13.00277805,77.6333313,Kammanahalli,15,"Mobility - Roads, Footpaths and Infrastructure",Fixing/Reparing Potholes,BBMP,Resolved,4
421,2019-01-30T06:54:00,150,Tarring of road,"BWSSB pipeline work has destroyed the road in this 2 km stretch and only half the Road is usable. Kindly that the road from Garalur road junction till Prestige Ferns apartment.

Due to this, this stretch experienced huge traffic pileup",67,10,"Harlur, Bengaluru, Karnataka, India",Haralur Road and Sarjapur Road junction till prestige ferns on Haralur road,12.8998046,77.6628428,Bellanduru,15,"Mobility - Roads, Footpaths and Infrastructure",Tarring Or Asphalting Of Existing Road,BBMP,Resolved,3
422,2019-01-30T08:06:00,85,"Garbage all around that place , from the bustop to the hospital and further","There is so much garbage , nobody comes and picks up the garbage , u all really need to check if they r doing there work",155,10,"Spice Garden Layout, Lakshminarayana Pura, Aecs Layout, Chinnapanna Halli, Bengaluru, Karnataka 560037, India",Spice garden opportunity the hospital medall,12.9580044,77.7089009,Dodda Nekkundi,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP,Resolved,2
423,2019-01-30T08:08:00,110,The Cage must be removed. The trees are being choked so tragicall...,The Cage must be removed. The trees are being choked so tragically.  just look at the way its growing over the metal frame . So many like this . Please have them removed,356,10,"Vidhana Soudha, Ambedkar Veedhi, Bengaluru, Karnataka",NULL,12.981041,77.5886296,Sampangiram Nagar,473,Trees and Saplings,Plant Saplings/Trees in your locality,Bruhat Bengaluru Mahanagara Palike,Open,0
424,2019-01-30T09:42:00,165,Monkey Menance,"Monkey Menance has increased and they are damaging vehicles by throwing Tender Cocunut from trees and breaking tree branches, breaking water tanks and sweage pipes.  Can BBMP take action or do you want to reimburse the cost of damages.",77,10,"828, 18Th Cross Rd, Siddanna Layout, Banashankari Stage Ii, Banashankari, Bengaluru, Karnataka 560070, India",Devagiri venkateshwara temple,12.9270942,77.5668975,Ganesh Mandir,19,Animal Husbandry,Stray Dog Sterilisation/Animal Birth Control (ABC),BBMP,Resolved,5
425,2019-01-30T11:42:00,188,Market shifted to Vijaya Bank Layout causing traffic and hygiene...,Market shifted to Vijaya Bank Layout causing traffic and hygiene issues,67,10,"Vijaya Bank Layout Park, Sir M Visveswaraya Road, Vijaya Bank Layout, Bilekahalli, Bengaluru, Karnataka, India",NULL,12.8909764,77.6084132,Bilekahalli,15,"Mobility - Roads, Footpaths and Infrastructure",Tarring Or Asphalting Of Existing Road,BBMP,Resolved,1
426,2019-01-30T15:02:00,193,Garbage Collection Guys segregate Garbage on Main road,"Garbage Collection Guys segregate Garbage on main road, every day morning
and spoils the footpath and it is next to lake bed.

they don't clear it properly.

Lot ppl unable to walk on the road , early morning localities will use the road for jogging and it always stinks",155,10,"Are Kere, Pai Layout, Hulimavu, Bengaluru, Karnataka 560076",Near the Govt School,12.8829845,77.5981177,Arekere,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP,Resolved,2
427,2019-01-30T15:46:00,93,Garbage is not collected properly,Garbage is not collected properly,340,10,"Janaagraha, Millers Tank Bund Road, Govinda Chetty Colony, Kaverappa Layout, Vasanth Nagar, Bengaluru, Karnataka, India",NULL,12.9909518,77.5971133,Vasanth Nagar,6,Garbage and Unsanitary Practices,Build Dry Waste Collection Centre,BBMP,Open,1
428,2019-01-30T16:24:00,190,Road construction,"There is no proper road on this side, it is creating huge dust pollution in this area. There are several companies running on this side, if the road comes it will helpful for all.",67,10,"Ground Floor, No 48, Next To Trident Hyundai, Hosur Rd, Kudlu Gate, Krishna Reddy Industrial Area, Hosapalaya, Garvebhavi Palya, Bengaluru, Karnataka 560068, India",Behind EKKA HOTEL,12.8902863,77.6399131,Mangamannapalya,15,"Mobility - Roads, Footpaths and Infrastructure",Tarring Or Asphalting Of Existing Road,BBMP,Resolved,3
429,2019-01-30T17:05:00,150,Building construction on the footpath/road,A new building is getting constructed after around 150 meters from devarabeesanhalli arch on the left hand side of the road where the road is getting curved towards left. This is(and will) causing lot of traffic jams. Please forward this complaint to right authority for action against culprits.,66,10,"Devarabisanahalli, Bellandur, Bengaluru, Karnataka 560103, India",Near devarabisanahalli arch,12.9312787,77.6855883,Bellanduru,15,"Mobility - Roads, Footpaths and Infrastructure",Fixing/Reparing Potholes,BBMP,Resolved,2
430,2019-01-30T20:01:00,81,Stray dogs biting children and house hold pets,"There are about 12 dogs in a group that attack people walking on d streets, children and pets. Many complaints to BBMP have gone un noticed. Children are scared to come out prefer to stay indoors. Today a home pet dog was bitten very badly.. please do something about this. The situation is very serious.",77,10,"Kaggadasapura Main Rd, Abbaiah Reddy Layout, Kaggadasapura, Bengaluru, Karnataka 560093, India",Himagiri enclave,12.9806029,77.6804341,Vijnana Nagar,19,Animal Husbandry,Stray Dog Sterilisation/Animal Birth Control (ABC),BBMP,Resolved,5
431,2019-01-30T22:59:00,176,Main Road has been cut for construction of the private building a...,Main Road has been cut for construction of the private building and creating space for the construction material . 7th cross road BTM 2nd stage opp. KC Das shop.,67,10,"Kc Das Sweets, 6Th Main Road, Mico Layout, Stage 2, Btm 2Nd Stage, Bengaluru, Karnataka, India",NULL,12.9137311,77.6055938,BTM Layout,15,"Mobility - Roads, Footpaths and Infrastructure",Tarring Or Asphalting Of Existing Road,BBMP,Resolved,3
432,2019-01-30T23:54:00,53,Manny Street dogs are making worse and scary on the streets. very...,"Manny Street dogs are making worse and scary on the streets. very loud barking in the nights and attacks the small kids, bikers and old age people. please help us as soon as possible.",77,10,"16Th Cross Rd, Chikkabasavanapura, Krishnarajapura, Bengaluru, Karnataka 560036, India",NULL,13.0122995,77.7063964,Basavanapura,19,Animal Husbandry,Stray Dog Sterilisation/Animal Birth Control (ABC),BBMP,Resolved,3
433,2019-01-31T00:02:00,150,Huge crater,"Not a pot hole but a crater this time. The damage is exactly at the U-Turn near the fire station. Because of this crater, vehicles are slowing down and causing huge traffic pile up. Requesting to take immediate and proper action.",66,10,"10, Ambalipura - Sarjapur Road, Bellandur, Bengaluru, Karnataka 560103, India",U-turn and Opposite to Fire station,12.91686714,77.67337553,Bellanduru,15,"Mobility - Roads, Footpaths and Infrastructure",Fixing/Reparing Potholes,BBMP,Resolved,30
434,2019-01-31T07:17:00,192,Kindly put tarr on this road,"Hi Sir,

This road has not been taken care to put tarr from so many months and it is very difficult to walk or drive on this road.

I request you to kindly consider this as our humble request and assit to get it done within few days.",67,10,"204, Bannerghatta Main Rd, Mla Layout, Kalena Agrahara, Bengaluru, Karnataka 560076, India",Gunina Eila apartment,12.8650372,77.5927617,Begur,15,"Mobility - Roads, Footpaths and Infrastructure",Tarring Or Asphalting Of Existing Road,BBMP,Resolved,3
435,2019-01-31T08:47:00,54,Lot of vehicles taking U turn in front Gopalan Grandeur with no traffic police to control,Lot of vehicles taking U turn(including school bus) in front Gopalan Grandeur with no traffic police to control. Please assign a traffic police.,196,5,"Hoodi Main Rd, Keb Colony, Industrial Area, Hoodi, Bengaluru, Karnataka 560048, India",Opposite Gopalan Grandeur,12.99102208,77.71456496,Hoodi,21,Traffic and Road Safety,Taking a U-turn where U-turn is prohibited,BTP,Closed,1
436,2019-01-31T10:04:00,7,The garbage collecting vehicle is not regular to our lane and has...,"The garbage collecting vehicle is not regular to our lane and has not turned up since 5 days...  
As we have instructed all the residents not to dump garbage on the streets,  we all have it collected in ours respective houses.... 
so kindly send the vehicle as soon as possible. 

thank you. 
residents of  msv cable network road.",155,10,"Amruthahalli Main Rd, Talacauvery Layout, Jakkuru Layout, Byatarayanapura, Bengaluru, Karnataka 560092, India",NULL,13.0681645,77.6009494,Byatarayanapura,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP,Resolved,3
437,2019-01-31T13:40:00,185,"Broken Footpath and construction material dumped, more than 10 da...","Broken Footpath and construction material dumped, more than 10 days but nothing is happening.",66,10,"Srinivasa Homoeo Medical And Clinic, Kanakapura Road, Ilyas Nagar, Kumaraswamy Layout, Bengaluru, Karnataka, India",NULL,12.905275,77.573218,Yelchenahalli,15,"Mobility - Roads, Footpaths and Infrastructure",Fixing/Reparing Potholes,BBMP,Resolved,2
438,2019-01-31T13:45:00,179,"No meter, charging extra, talking loudly","Auto number:ka05ad2891
Location: banashankarittmc
Date:31 Jan 2019
Time: 11:25 am

I asked driver to go to Doddaganapati temple, basavangudi. Driver charged 120rs. I asked why so much, put meter.2-3 drivers came near and said, it will cost 100, give 20rs.extra, will not put meter.
I urged to put meter again, he shouted...""meter hakalla aste"". 
I knew from the distance that it might cost 60 RS.max.
It was my birthday,iwanted to go to Temple urgently since it closes at 12:00 pm.

And moreover, he did not even have board of 'auto driver license display system' in his auto.

This is pure harassment from auto drivers against commuters. Few such drivers are spoiling the name of the city.
Please take action.
I wish to not disclose my name.

Sincerely,
Namma Bengaluru resident",82,5,"27-2-B, 47Th Cross Rd, 1St Phase, Jp Nagar, Bengaluru, Karnataka 560070, India",Bus stand,12.91696985,77.57474499,Shakambari Nagar,21,Traffic and Road Safety,Autorickshaws Meter Issues,BTP,Closed,1
439,2019-01-31T13:49:00,194,No road within the layout,"Hi Sir

There is no road in the mentioned area (near site no 74, BDA Layout, Sarathy Nagara, 1st Block, 8th Phase, JP Nagara) and people are dumping garbages on this area due to his. Plz get the road constructed so that it will be easy for the people to commute and area will be clean.

Regards
Subrahmanya",352,10,"No 76, Deepthi Nagar, 8Th Phase, Jp Nagar, Bengaluru, Karnataka 560076, India",Lakshmi Narasimha sabha bhavana,12.87593411,77.57066482,Gottigere,15,"Mobility - Roads, Footpaths and Infrastructure",Tarring Or Asphalting Of Mud/Kutcha/Unpaved Road,BBMP,Resolved,1
440,2019-01-31T14:45:00,14,Many puppies in the street,"Hi, There are lots of Puppies at the street and they get under the wheels of cars and bikes. Today one puppy got into a car wheel and died in the street. Kindly look into it and shift the puppies to the better and safe place.",77,10,"Kirloskar Layout, Soundarya Layout, 3Rd Cross, 3Rd Main Rd, Siddeshwar Layout, Soundarya Layout, Sidedahalli, Karnataka 560090, India",Near Siddeshwara Appartment,13.0675612,77.4979733,Bagalakunte,19,Animal Husbandry,Stray Dog Sterilisation/Animal Birth Control (ABC),BBMP,Resolved,5
441,2019-01-31T17:24:00,199,Garbage being dumped and burnt on ram Sagar road (Chandapura - Do...,Garbage being dumped and burnt on ram Sagar road (Chandapura - Dommasandra) road,155,10,"No 109 Dommasandra Road, Chandapura Near Muthanallur Circle, Bengaluru, Karnataka 560099, India",NULL,12.8410012,77.7210642,Other,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP,Resolved,5
442,2019-01-31T21:09:00,166,Bbmp emloys r not cleaning road proplerly near my house beside th...,Bbmp emloys r not cleaning road proplerly near my house beside the car the waste will be there it self,155,10,"Digvijaya Hospital, Kanakapura Road, 7Th Block, Jayanagar, Bengaluru, Karnataka, India",NULL,12.9297172,77.5764501,Karisandra,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP,Resolved,2
443,2019-01-31T22:01:00,148,Bier Library Koramangala playing loud music even after 10PM,Bier Library Koramangala playing loud music even after 10PM,46,7,"41, Srinivagilu Main Rd, Venkappa Garden, Ejipura, Bengaluru, Karnataka 560007, India",NULL,12.9393981,77.6262166,Ejipura,11,Pollution,Noise Pollution,KSPCB,Open,1
444,2019-02-01T07:31:00,176,This is on 7thcross BTM 2ndstage. the road is dug in the middle....,This is on 7thcross BTM 2ndstage. the road is dug in the middle. please provide information on the purpose.,67,10,"247, 7Th Cross Rd, Mico Layout, Stage 2, Btm Layout, Bengaluru, Karnataka 560076, India",NULL,12.91365023,77.60504942,BTM Layout,15,"Mobility - Roads, Footpaths and Infrastructure",Tarring Or Asphalting Of Existing Road,BBMP,Resolved,3
445,2019-02-01T07:59:00,85,Violation of lane discipline on a two way.,Violation of lane discipline on a two way.,199,5,"Sri Shiradi Sai Complex, 47, Varthur Rd, Kumarapalli, Thubarahalli, Brookefield, Bengaluru, Karnataka 560066, India",NULL,12.95573645,77.71848751,Dodda Nekkundi,21,Traffic and Road Safety,Violating lane discipline,BTP,Closed,2
446,2019-02-01T09:22:00,197,Garbage burning near schools at Vasanthapura.This includes plasti...,"Garbage burning near schools at Vasanthapura.This includes plastic.
Many schools are on this road,like insight Academy and other schools. Please some action immediately to stop this.",155,10,"Insight Academy Vasanthapura, Mango Garden Layout, Bikasipura, Bengaluru, Karnataka, India",NULL,12.8929375,77.5596803,Vasanthapura,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP,Resolved,2
447,2019-02-01T10:56:00,18,Irregular collection of Wet and Dry waste/Irregular hawkers shown and sweepers irregular.,"Hello Team,

I an a resident of this particular locality-No 43,2nd main venkatachari Nagar Rmv second stage extension.The hawkers are not regular ,they show up twice in a week and in particular expect bribe to be paid they are very indisciplined and never regular.

The streets are not cleaned for weeks together there are no sweepers who turn up regular.

If the issue of hawkers and no pick up of Garbage is not solved we need to escalate it to the commissioner-Bbmp.

Take this up as a top most priority.",155,10,"2Nd Main Rd, Venkatachary Nagar, R.m.v. 2Nd Stage, Bengaluru, Karnataka 560094, India",2nd main venkatachari Nagar Rmv second stage extension,13.0422047,77.5629869,Radhakrishna Temple,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP,Resolved,2
448,2019-02-01T11:00:00,199,No garbage dumping facility,"Dear team,
All garbages are thrown to besides road its looking very dirty kindly look into this and fix the issue",155,10,"Mylanahalli, Hunachur, Karnataka, India",Airport road near kallama circle,13.1827557,77.695126,Other,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP,Resolved,1
449,2019-02-01T11:36:00,94,Non compliant usage of Residential park which is turned an open air restaurant by an illegal stand away restaurant-Ammas canteen,"Dear Team,

This is one of the most happening issues at Kumara Park West,nehru Nagar triangular park.

This is to get to your notice that this park has been devoid of it's rights by utilising this as a restaurant by an illegal stand away and take away restaurant Ammas canteen at seshadripuram-Kp west .

This has been got to notice of several local authorities but in vain,the recalcitrant administrators from bbmp/Local police station authority chose to play the cards close to there chest.I forsee a huge amount of bribes which is accepted by the local authority .

This restaurant has damaged the local beauty of the locality,the left over plates are thrown in the triangular park and uilising this as an open air restaurant.

The restaurant needs to be locked out which will solve several difficulties faced by the residents currently-The vehicles are parked in the no Parking zones ,and the restaurant has encouraged to park there vehicles in the tow away zone making it extremely difficult to the local residents to park there own vehicles or taking it away for there own use.

The triangular park needs to be locked and a security should be deployed to ensure compliance and deligence of the nuisance which is occurring on a regular basis.

The park needs to be maintained and the restaurant the take aways Should be locked out by the authorities which should be a breath free for the local residents .

---The eatery should be closed on a permanent basis,with reference to the law passed by the government for the closure of illegal business in the Residential areas.

---The park needs to get a face lift and a locked feature and a security  so that the regular clients will never get to the park and utilise it to chair to there own needs of the day.

Photos and hard copy of the compliant will be handed over to the janagraha official to note the exact happening in this residential locality.",85,10,"4Th Block, Sheshadripuram, Bengaluru, Karnataka, India",Ammas canteen,12.990172,77.5765782,Gandhi Nagar,22,Parks & Recreation,Maintenance Of existing Parks,BBMP,Resolved,7
450,2019-02-01T11:57:00,191,Boulders on service Road,"To decongest traffic at hosa road junction, boulders were placed, which is congesting traffic at Konappana Agrahara. 
4kms round about to be taken for 4 wheelers to travel from SBI, Hosur Road Branch towards Madivala
Loss of time, energy, petrol - Not appropriate or wise decision from traffic police
Suffering since January 2017",84,5,"857, Hosa Rd, Chennakeshava Nagar, Pragathi Nagar, Electronic City, Bengaluru, Karnataka 560100, India","State Bank of India, Hosur Road branch",12.87016707,77.65451218,Singasandra,21,Traffic and Road Safety,Traffic Jams/Congestion Or Bottlenecks,BTP,Closed,1
451,2019-02-01T12:33:00,27,Central Mart shop occupying road with vegetable cartons.,"Here we have a small to go to main road and between that Central Mart general store is there he is occupying half of the road daily morning with vegetable boxes I have told so many times,but he ignored pls take care of it, it's very difficult to drive on that road.",67,10,"Bengaluru, Karnataka 560043, India",Keerthi chalet apartment,13.0206268,77.6478852,Banasavadi,15,"Mobility - Roads, Footpaths and Infrastructure",Tarring Or Asphalting Of Existing Road,BBMP,Resolved,3
452,2019-02-01T14:38:00,18,Street light Repair,This is corner house without street light.  Two road join here.  Since from 2 month the Street light is not working.  Public are in dark.  Kindly repair or replace the bulb immeditely.,62,10,"40, 2Nd Main Rd, Naidu Layout, Raj Mahal Vilas 2Nd Stage, Sanjaynagar, Bengaluru, Karnataka 560094, India",Lane opp to Mamatha Hospital (opp house to Bipranil Office),13.0374832,77.57241256,Radhakrishna Temple,470,Streetlights,Maintenance/Repair Of Streetlights,BBMP,Resolved,6
453,2019-02-01T14:49:00,7,Road is dug,Road was dug for Gas pipeline but is not closed,66,10,"Hebbal Kempapura, Bengaluru, Karnataka, India",Near Dominoz,13.0529125,77.6014859,Byatarayanapura,15,"Mobility - Roads, Footpaths and Infrastructure",Fixing/Reparing Potholes,BBMP,Open,0
454,2019-02-01T14:53:00,184,Muddy and rocky road needs to be asphalted,"Uttarahalli is a very fast growing area. And in mid of this area, there is a residential lane named ""11th Main"". There are around 7 buildings, 60 families, 250 people including 30 kids living and using this lane of around 200 mtrs. 

But this is an unlevelled rocky and muddy road. During windy season, homes are dusty and during the rainy season, the lane is slippery due to a high amount of mud composition in the lane. We the owners of apartments at Siri Elegance had been knocking doors of Corporator and MLA of our area since a year, but till date, we received only hopes and false promises. 

We deserve a city like life if we reside in city. We deserve as good roads as this are in other adjacent lanes of same area. We demand for the same. We demand for pakka asphalted tar road.",67,10,"75, 11Th Main Rd, Viprashree, Simhadri Layout, Uttarahalli Hobli, Bengaluru, Karnataka 560061, India",Behind Wine Palace,12.9072704,77.5449579,Uttarahalli,15,"Mobility - Roads, Footpaths and Infrastructure",Tarring Or Asphalting Of Existing Road,BBMP,Resolved,9
455,2019-02-01T14:59:00,174,"Infront of Empire Restaurant-HSR LAYOUT SECTOR 6, 9TH MAIN. This...","Infront of Empire Restaurant-HSR LAYOUT SECTOR 6, 9TH MAIN. This has been like this for months now. No action from the respective authorities.",66,10,"Empire Restaurant - Hsr Layout, 9Th Main Road, Sector 6, Hsr Layout, Bengaluru, Karnataka, India",NULL,12.9151396,77.6354127,HSR Layout,15,"Mobility - Roads, Footpaths and Infrastructure",Fixing/Reparing Potholes,BBMP,Resolved,3
456,2019-02-01T17:27:00,160,Cleaning of Sewage wast,"During the election time, all the other roads were added a new sewage pipe but our road was not touched , the sewage line that was done was 20 yrs old has made home or rats, mice and dogs due this the sewage gets blocked very often. Once the dirt is pulled out the sewage is not cleared either by BBMP or BWSSB and this is huge inconvenience to walk on the road and for the kids. Please look into this.",155,10,"Bengaluru, Karnataka 560098, India","2nd cross Marappalayout, Ganesha temple road",12.9155497,77.5134699,Rajarajeshwari Nagar,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP,Resolved,2
457,2019-02-02T00:03:00,152,Garbage dumped on chocolate factory road.,Garbage dumped on chocolate factory road.,155,10,"Chocolate Factory Road, Cashier Layout, 1St Stage, Btm Layout, Bengaluru, Karnataka, India",NULL,12.9236289,77.611733,Suddagunte Palya,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP,Resolved,3
458,2019-02-02T06:36:00,99,Its been more than a year since drainage has been cleaned and it...,Its been more than a year since drainage has been cleaned and it really stinks and we cant sleep at night because this drainage is next to our room window.,72,10,"64/2, 2Nd Block, Basaveshwar Nagar, Bengaluru, Karnataka 560010, India",NULL,12.99287453,77.55491463,Rajaji Nagar,472,Sewerage Systems,Maintenance And Repair Of Sewage Lines,BBMP,Open,0
459,2019-02-02T09:14:00,25,Overflow of Sewage Water From Man Hole,"The Sewage water is overflowing from the manhole primarily due to a huge outflow from an apartment close by and causing a lot of distress to the passers by. Stagnant water is turned into a breeding ground for mosquitoes. This can cause diseases to the kids, elderly and the home makers who happen to walk around the locality.

The complaint to clean the sewage at JR Layout had been raised on 28th January 2019 and no action has been yet inspite of repeated complaints to the engineer.",182,2,"Jr Layout, 1St Block, Meganahalli, Kalyan Nagar, Bengaluru, Karnataka 560043, India",Near JR Arcade Apartments,13.0283762,77.6406737,Horamavu,23,Water Supply and Services,Regular Water Supply,BWSSB,Resolved,2
460,2019-02-02T11:21:00,54,Roads are not Asphalted and no proper drainage almost 7 years,"We few families are staying in Chikkaramaiah layout for almost 7 years and our roads are not asphalted. Area is called Jinkethimmanahalli, Varanasi, comes under Mahadevapura (Ward 56 or 54).  Sometime back we had informed corporator when he came . Later they came back saying another layout exist in same area of same name.  But it does not seem correct.  Would request to help us.",67,10,"Unnamed Road, Jinkethimmanahalli, Varanasi, Bengaluru, Karnataka 560049, India","Near M M A Kabab Center, Olive National School",13.02338487,77.68908335,Hoodi,15,"Mobility - Roads, Footpaths and Infrastructure",Tarring Or Asphalting Of Existing Road,BBMP,Re-opened,31
461,2019-02-02T13:05:00,130,No proper CMC water supply,"Valve man here dosent supply proper water here , we dont have cauvery water connection and we are highlight dependent on CMC water , dont have proper cmc water supply from 2 weeks atleast , can you please look into this asap as people around here are suffering because of this",182,2,"Navneet Nilaya , 1St Main , 2Nd Cross Ullal Upanagar, Navneet Nilaya, 97, Sir M Vishweshwaraiah Layout 6Th Block, Ullal Uppanagar, Bengaluru, Karnataka 560110, India",Opposite KILT,12.9620441,77.4757317,Ullalu,23,Water Supply and Services,Regular Water Supply,BWSSB,Open,0
